chrom1	start1	end1	chrom2	start2	end2	count
chr2	0	50000	chr2	0	50000	1
chr2	0	50000	chr2	250000	300000	1
chr2	0	50000	chr2	1000000	1050000	1
chr2	0	50000	chr2	1500000	1550000	1
chr2	0	50000	chr2	2000000	2050000	1
chr2	0	50000	chr2	2500000	2550000	1
chr2	0	50000	chr2	3250000	3300000	1
chr2	0	50000	chr2	3500000	3550000	1
chr2	0	50000	chr2	3750000	3800000	1
chr2	0	50000	chr2	6500000	6550000	1
chr2	0	50000	chr2	6750000	6800000	1
chr2	0	50000	chr2	7500000	7550000	1
chr2	0	50000	chr2	10750000	10800000	1
chr2	0	50000	chr2	18250000	18300000	1
chr2	0	50000	chr2	18500000	18550000	1
chr2	0	50000	chr2	19000000	19050000	1
chr2	0	50000	chr2	19500000	19550000	1
chr2	0	50000	chr2	19750000	19800000	1
chr2	0	50000	chr2	20000000	20050000	1
chr2	0	50000	chr2	20250000	20300000	1
chr2	0	50000	chr2	27000000	27050000	1
chr2	0	50000	chr2	27250000	27300000	1
chr2	0	50000	chr2	27500000	27550000	1
chr2	0	50000	chr2	28250000	28300000	1
chr2	0	50000	chr2	28500000	28550000	1
chr2	0	50000	chr2	31000000	31050000	1
chr2	0	50000	chr2	32250000	32300000	1
chr2	0	50000	chr2	36250000	36300000	1
chr2	0	50000	chr2	216750000	216800000	1
chr2	250000	300000	chr2	0	50000	1
chr2	250000	300000	chr2	250000	300000	1
chr2	250000	300000	chr2	500000	550000	1
chr2	250000	300000	chr2	750000	800000	1
chr2	250000	300000	chr2	1000000	1050000	1
chr2	250000	300000	chr2	1250000	1300000	1
chr2	250000	300000	chr2	1500000	1550000	1
chr2	250000	300000	chr2	2000000	2050000	1
chr2	250000	300000	chr2	2250000	2300000	1
chr2	250000	300000	chr2	2500000	2550000	1
chr2	250000	300000	chr2	3000000	3050000	1
chr2	250000	300000	chr2	6000000	6050000	1
chr2	250000	300000	chr2	6750000	6800000	1
chr2	250000	300000	chr2	7250000	7300000	1
chr2	250000	300000	chr2	7500000	7550000	1
chr2	250000	300000	chr2	8250000	8300000	1
chr2	250000	300000	chr2	15250000	15300000	1
chr2	250000	300000	chr2	16750000	16800000	1
chr2	250000	300000	chr2	17750000	17800000	1
chr2	250000	300000	chr2	18250000	18300000	1
chr2	250000	300000	chr2	18500000	18550000	1
chr2	250000	300000	chr2	18750000	18800000	1
chr2	250000	300000	chr2	19000000	19050000	1
chr2	250000	300000	chr2	19250000	19300000	1
chr2	250000	300000	chr2	19750000	19800000	1
chr2	250000	300000	chr2	20000000	20050000	1
chr2	250000	300000	chr2	20250000	20300000	1
chr2	250000	300000	chr2	27500000	27550000	1
chr2	250000	300000	chr2	27750000	27800000	1
chr2	250000	300000	chr2	28000000	28050000	1
chr2	250000	300000	chr2	28250000	28300000	1
chr2	250000	300000	chr2	28500000	28550000	1
chr2	250000	300000	chr2	28750000	28800000	1
chr2	250000	300000	chr2	29500000	29550000	1
chr2	250000	300000	chr2	29750000	29800000	1
chr2	250000	300000	chr2	32250000	32300000	1
chr2	250000	300000	chr2	36250000	36300000	1
chr2	250000	300000	chr2	37000000	37050000	1
chr2	250000	300000	chr2	209000000	209050000	1
chr2	500000	550000	chr2	250000	300000	1
chr2	500000	550000	chr2	500000	550000	1
chr2	500000	550000	chr2	750000	800000	1
chr2	500000	550000	chr2	1000000	1050000	1
chr2	500000	550000	chr2	1250000	1300000	1
chr2	500000	550000	chr2	6250000	6300000	1
chr2	500000	550000	chr2	14250000	14300000	1
chr2	500000	550000	chr2	15250000	15300000	1
chr2	500000	550000	chr2	16750000	16800000	1
chr2	500000	550000	chr2	17500000	17550000	1
chr2	500000	550000	chr2	17750000	17800000	1
chr2	500000	550000	chr2	18000000	18050000	1
chr2	500000	550000	chr2	18750000	18800000	1
chr2	500000	550000	chr2	19250000	19300000	1
chr2	500000	550000	chr2	27750000	27800000	1
chr2	500000	550000	chr2	28750000	28800000	1
chr2	500000	550000	chr2	29250000	29300000	1
chr2	500000	550000	chr2	29500000	29550000	1
chr2	500000	550000	chr2	29750000	29800000	1
chr2	500000	550000	chr2	30000000	30050000	1
chr2	500000	550000	chr2	31750000	31800000	1
chr2	750000	800000	chr2	250000	300000	1
chr2	750000	800000	chr2	500000	550000	1
chr2	750000	800000	chr2	750000	800000	1
chr2	750000	800000	chr2	1000000	1050000	1
chr2	750000	800000	chr2	1250000	1300000	1
chr2	750000	800000	chr2	1500000	1550000	1
chr2	750000	800000	chr2	2000000	2050000	1
chr2	750000	800000	chr2	2250000	2300000	1
chr2	750000	800000	chr2	3000000	3050000	1
chr2	750000	800000	chr2	6000000	6050000	1
chr2	750000	800000	chr2	7500000	7550000	1
chr2	750000	800000	chr2	8250000	8300000	1
chr2	750000	800000	chr2	15250000	15300000	1
chr2	750000	800000	chr2	16750000	16800000	1
chr2	750000	800000	chr2	17500000	17550000	1
chr2	750000	800000	chr2	17750000	17800000	1
chr2	750000	800000	chr2	18000000	18050000	1
chr2	750000	800000	chr2	18250000	18300000	1
chr2	750000	800000	chr2	18500000	18550000	1
chr2	750000	800000	chr2	18750000	18800000	1
chr2	750000	800000	chr2	19000000	19050000	1
chr2	750000	800000	chr2	19250000	19300000	1
chr2	750000	800000	chr2	20000000	20050000	1
chr2	750000	800000	chr2	27500000	27550000	1
chr2	750000	800000	chr2	27750000	27800000	1
chr2	750000	800000	chr2	28000000	28050000	1
chr2	750000	800000	chr2	28250000	28300000	1
chr2	750000	800000	chr2	28500000	28550000	1
chr2	750000	800000	chr2	28750000	28800000	1
chr2	750000	800000	chr2	29250000	29300000	1
chr2	750000	800000	chr2	29500000	29550000	1
chr2	750000	800000	chr2	29750000	29800000	1
chr2	750000	800000	chr2	32250000	32300000	1
chr2	750000	800000	chr2	37000000	37050000	1
chr2	1000000	1050000	chr2	0	50000	1
chr2	1000000	1050000	chr2	250000	300000	1
chr2	1000000	1050000	chr2	500000	550000	1
chr2	1000000	1050000	chr2	750000	800000	1
chr2	1000000	1050000	chr2	1000000	1050000	1
chr2	1000000	1050000	chr2	1250000	1300000	1
chr2	1000000	1050000	chr2	1500000	1550000	1
chr2	1000000	1050000	chr2	2000000	2050000	1
chr2	1000000	1050000	chr2	2250000	2300000	1
chr2	1000000	1050000	chr2	2500000	2550000	1
chr2	1000000	1050000	chr2	2750000	2800000	1
chr2	1000000	1050000	chr2	3000000	3050000	1
chr2	1000000	1050000	chr2	5500000	5550000	1
chr2	1000000	1050000	chr2	5750000	5800000	1
chr2	1000000	1050000	chr2	6000000	6050000	1
chr2	1000000	1050000	chr2	6750000	6800000	1
chr2	1000000	1050000	chr2	7250000	7300000	1
chr2	1000000	1050000	chr2	7500000	7550000	1
chr2	1000000	1050000	chr2	8750000	8800000	1
chr2	1000000	1050000	chr2	13250000	13300000	1
chr2	1000000	1050000	chr2	14250000	14300000	1
chr2	1000000	1050000	chr2	14500000	14550000	1
chr2	1000000	1050000	chr2	14750000	14800000	1
chr2	1000000	1050000	chr2	15250000	15300000	1
chr2	1000000	1050000	chr2	17500000	17550000	1
chr2	1000000	1050000	chr2	17750000	17800000	1
chr2	1000000	1050000	chr2	18000000	18050000	1
chr2	1000000	1050000	chr2	18250000	18300000	1
chr2	1000000	1050000	chr2	18500000	18550000	1
chr2	1000000	1050000	chr2	18750000	18800000	1
chr2	1000000	1050000	chr2	19000000	19050000	1
chr2	1000000	1050000	chr2	19250000	19300000	1
chr2	1000000	1050000	chr2	19750000	19800000	1
chr2	1000000	1050000	chr2	20000000	20050000	1
chr2	1000000	1050000	chr2	20250000	20300000	1
chr2	1000000	1050000	chr2	20500000	20550000	1
chr2	1000000	1050000	chr2	27500000	27550000	1
chr2	1000000	1050000	chr2	27750000	27800000	1
